entity1,entity2,weight,dates
NAGPUR,Parwe,1,08-2020
Centre,Parwe,1,08-2020
BJP,Umred Sudhir,1,08-2020
BJP,IFA,1,08-2020
BJP,NAGPUR,3,"08-2020, 12-2020"
BJP,Centre,132,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
IFA,Umred Sudhir,1,08-2020
Maharashtra,Umred Sudhir,1,08-2020
NAGPUR,Umred Sudhir,1,08-2020
Centre,Umred Sudhir,1,08-2020
IFA,Maharashtra,1,08-2020
IFA,NAGPUR,1,08-2020
Centre,IFA,1,08-2020
Maharashtra,NAGPUR,5,"01-2021, 08-2020, 11-2020, 12-2020"
Centre,Maharashtra,19,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Centre,NAGPUR,1,08-2020
district emergency operations centre,district soil co,3,08-2020
Wayanad,district emergency operations centre,3,08-2020
KOZHIKODE,district emergency operations centre,3,08-2020
Wayanad,district soil co,3,08-2020
KOZHIKODE,district soil co,3,08-2020
KOZHIKODE,Wayanad,7,"01-2021, 08-2020, 10-2020"
Kodaikanal,Mother Theresa University,1,08-2020
A Usha Raja Nanthini,Mother Theresa University,1,08-2020
A Usha Raja Nanthini,Kodaikanal,1,08-2020
Food Corporation of India,Hyderabad,1,08-2020
Hyderabad,Telangana,25,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Food Corporation of India,Telangana,1,08-2020
A Rajasheker Reddy,HYDERABAD,3,"01-2021, 08-2020"
HYDERABAD,Telangana,41,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
HYDERABAD,Khammam,7,"01-2021, 08-2020, 11-2020, 12-2020"
Devarapalli,HYDERABAD,1,08-2020
A Rajasheker Reddy,Telangana,3,"01-2021, 08-2020"
A Rajasheker Reddy,Khammam,1,08-2020
A Rajasheker Reddy,Devarapalli,1,08-2020
Khammam,Telangana,4,"08-2020, 12-2020"
Devarapalli,Telangana,1,08-2020
Devarapalli,Khammam,1,08-2020
HSAMB,Manohar Lal Khattar,1,08-2020
Haryana,Manohar Lal Khattar,23,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
